cut,telop1,telop2,hl,hl_color,camera,asset,item_end
0,TITLE,,TITLE,,zoomin,A01,0
1,地球には,正体不明の音がある,正体不明,red,zoomin,A01,0
2,記録は残っている,だが音源が分からない,音源,yellow,zoomin,A02,0
3,1,アップスウィープ,ALL,red,zoomout,A03,0
4,1991年,アメリカの観測機関が,1991年,red,zoomin,A04,0
5,太平洋の海中で,奇妙な音を捉えた,奇妙な音,yellow,pandown,A05,0
6,周波数が,上昇していく音が,上昇,yellow,zoomin,A06,0
7,延々と,繰り返される,延々と,red,panright,A06,0
8,アップスウィープと,名付けられた,アップスウィープ,yellow,zoomin,A07,0
9,音源は,南太平洋の一点,一点,red,zoomin,A08,0
10,そこは陸から,遠く離れた海域だった,遠く離れた,yellow,zoomout,A09,0
11,この音には,季節変動がある,季節変動,yellow,panleft,A03,0
12,春と秋に,ピークを迎える,ピーク,red,zoomin,A10,0
13,海底火山の活動では,ないかとされるが,海底火山,yellow,zoomin,A11,0
14,音源は,特定されていない,特定されていない,red,zoomout,A08,0
15,そして今も,鳴り続けている,今も,red,zoomin,A12,1
16,2,ザ・ハム,ALL,red,zoomout,A13,0
17,世界各地で,同じ報告が上がっている,同じ報告,yellow,zoomin,A14,0
18,低い唸り声のような,音が聞こえる,唸り声,red,zoomin,A15,0
19,エンジンが遠くで,回っているような音,エンジン,yellow,panright,A16,0
20,ハムと,呼ばれている,ハム,red,zoomin,A17,0
21,1970年代,イギリス ブリストル,1970年代,red,zoomin,S01,0
22,1990年代,アメリカ タオス,1990年代,red,panleft,A18,0
23,タオスでは住民の,およそ2%が,2%,red,zoomin,A19,0
24,その音が,聞こえると答えた,聞こえる,yellow,zoomin,A20,0
25,しかし残りの98%には,聞こえない,98%,red,zoomout,A21,0
26,工業機械 地殻の振動,耳鳴り,,,pandown,A22,0
27,あらゆる説が,検証されたが,検証,yellow,zoomin,A23,0
28,発生源はいまだに,特定されていない,特定されていない,red,zoomin,A13,1
29,3,52ヘルツのクジラ,ALL,red,zoomout,A01,0
30,1989年,米海軍の探知網が,1989年,red,zoomin,A24,0
31,太平洋である,鳴き声を拾った,鳴き声,yellow,panright,A25,0
32,52ヘルツ,,ALL,red,still,A26a,0
33,クジラの声としては,異常に高い,異常に高い,red,zoomin,A27,0
34,シロナガスクジラは,10〜39ヘルツ,10〜39,yellow,panleft,A28,0
35,この個体だけが,違う周波数で鳴いていた,この個体だけ,red,zoomin,A28,0
36,つまり,仲間には届かない,届かない,red,zoomout,A27,0
37,研究者は30年以上,追跡を続けた,30年以上,red,zoomin,A29,0
38,回遊経路はどの種とも,一致しない,一致しない,yellow,panright,A30,0
39,種の特定も,姿の確認もできていない,できていない,red,zoomin,A31,0
40,世界で最も,孤独なクジラ,孤独,red,zoomout,A27,1
41,3つの音に,共通するのは,,,zoomin,A32,0
42,記録は,残っているのに,記録,yellow,pandown,A33,0
43,音源だけが,見つかっていない,見つかっていない,red,zoomin,A08,0
44,地球はまだ,静かではない,静かではない,red,zoomin,A34,0
